	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
0	lbfgs	1	4	0	0.0487741470336914	0.000256343682607	5811.94453	17684.60137	11872.81896	32946	29241.0	29241.0	29241	0	0	19451.0	18003	11238	1448	0.5	0.5	0.5032	0.7247	0.6642	0.5313	8238	7303.0	7303.0	7303	0	0	4845.0	4503	2800	342	0.5	0.5	0.4912	0.7227	0.6676	0.5242
1	lbfgs	1	4	1	0.0447082241376241	0.0004484415054321	5588.58497	17684.51099	23273.04754	32946	29243.0	29243.0	29243	0	0	16094.0	14141	15102	1953	0.5	0.5	0.5055	0.7246	0.5776	0.4911	8238	7303.0	7303.0	7303	0	0	3963.0	3473	3830	490	0.5	0.5	0.4998	0.7227	0.5895	0.4892
2	lbfgs	1	4	2	0.0414300918579101	0.0004214803377787	619.96124	17684.50795	18304.35404	32946	29243.0	29243.0	29243	0	0	28622.0	28023	1220	599	0.5	0.5	0.56	0.7246	0.7349	0.5604	8238	7303.0	7303.0	7303	0	0	7167.0	7012	291	155	0.5	0.5	0.563	0.7227	0.7338	0.5733
3	lbfgs	1	33	0	0.0521987040837605	0.0003472050031026	4975.57895	17684.4325	12708.90297	32917	29213.0	29213.0	29213	0	0	29215.0	29213	0	2	0.5	0.5	0.5003	0.7246	0.7057	0.7556	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.7065	0.7523
4	lbfgs	1	33	1	0.044338047504425	0.0004078984260559	1227.52863	17684.43223	16457.03226	32917	29213.0	29213.0	29213	0	0	29215.0	29213	0	2	0.5	0.5	0.5003	0.7247	0.6928	0.7558	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.6967	0.7523
5	lbfgs	1	33	2	0.0436579545338948	0.0004965305328369	2193.72633	17684.5187	19878.20119	32917	29217.0	29217.0	29217	0	0	29190.0	29181	36	9	0.5	0.5	0.5006	0.7246	0.7009	0.4702	8238	7303.0	7303.0	7303	0	0	7296.0	7294	9	2	0.5	0.5	0.5005	0.7227	0.7021	0.4755
6	lbfgs	1	330	0	0.0555881698926289	0.0003874540328979	407.62159	17684.43246	18086.26287	32621	28944.0	28944.0	28944	0	0	28946.0	28944	0	2	0.5	0.5	0.5003	0.7248	0.7331	0.7556	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.7309	0.7523
7	lbfgs	1	330	1	0.0433309515317281	0.0003640015920003	6743.7534	17684.43246	10940.81669	32623	28957.0	28957.0	28957	0	0	28959.0	28957	0	2	0.5	0.5	0.5003	0.7246	0.7	0.7556	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.7019	0.7523
8	lbfgs	1	330	2	0.0398902614911397	0.0003730813662211	6469.94559	17684.43245	11214.73972	32621	28949.0	28949.0	28949	0	0	28951.0	28949	0	2	0.5	0.5	0.5003	0.7248	0.6773	0.7557	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.6835	0.7522
9	lbfgs	1	1648	0	0.0389520684878031	0.0004317879676818	7225.71807	17684.43245	10458.94659	31335	27798.0	27798.0	27798	0	0	27800.0	27798	0	2	0.5	0.5	0.5003	0.7241	0.6664	0.7553	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.6713	0.7522
10	lbfgs	1	1648	1	0.0367796858151753	0.0005197048187255	3363.44591	17684.43244	14321.23119	31346	27822.0	27822.0	27822	0	0	27824.0	27822	0	2	0.5	0.5	0.5003	0.7253	0.577	0.7559	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.5832	0.7523
11	lbfgs	1	1648	2	0.0444249312082926	0.0004765470822652	3619.45423	17684.43245	14065.14677	31351	27845.0	27845.0	27845	0	0	27847.0	27845	0	2	0.5	0.5	0.5003	0.7245	0.6239	0.7553	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.6252	0.7522
12	lbfgs	1	3295	0	0.0398555954297383	0.0005616585413614	7254.21552	17684.51066	10430.33217	29822	26476.0	26476.0	26476	0	0	25420.0	25262	1214	158	0.5	0.5	0.5007	0.7247	0.686	0.4051	8238	7303.0	7303.0	7303	0	0	7028.0	6976	327	52	0.5	0.5	0.5054	0.7227	0.6905	0.4094
13	lbfgs	1	3295	1	0.0475577473640441	0.0007345000902811	956.40123	17684.43244	16728.05508	29820	26463.0	26463.0	26463	0	0	26465.0	26463	0	2	0.5	0.5	0.5003	0.7233	0.6366	0.7555	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.6439	0.7523
14	lbfgs	1	3295	2	0.0347338676452636	0.0006116310755411	5992.78081	17684.43244	11691.73321	29821	26480.0	26480.0	26480	0	0	26482.0	26480	0	2	0.5	0.5	0.5003	0.7243	0.6584	0.7555	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.6657	0.7522
15	lbfgs	1	6590	0	0.0209664424260457	0.0006848573684692	2792.86196	17684.43241	14982.67377	27021	24017.0	24017.0	24017	0	0	24019.0	24017	0	2	0.5	0.5	0.5003	0.7249	0.7069	0.7558	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.7079	0.7522
16	lbfgs	1	6590	1	0.0211313724517822	0.0005480527877807	4511.04174	17684.43243	13173.74151	26987	23909.0	23909.0	23909	0	0	23911.0	23909	0	2	0.5	0.5	0.5003	0.7219	0.7127	0.7527	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.7157	0.7522
17	lbfgs	1	6590	2	0.0207010110219319	0.0005363623301188	2814.88644	17684.43241	15010.2253	26976	24006.0	24006.0	24006	0	0	24008.0	24006	0	2	0.5	0.5	0.5003	0.7249	0.7072	0.7565	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7227	0.7066	0.7522
0	lbfgs	2	4	0	0.0506131211916605	0.0003819982210795	8529.87736	21780.65268	17109.73913	32946	29242.0	29242.0	29242	0	0	29244.0	29242	0	2	0.5	0.5	0.5003	0.5838	0.6996	0.7523	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.5877	0.6978	0.7498
